[0.00 - 2.00]  There we go. Okay.
[3081.10 - 3084.10]  Drawing by numbers doesn't teach you drawing.
[3084.10 - 3085.10]  Correct.
[3085.10 - 3087.10]  But music by numbers really teaches you music.
[3087.10 - 3090.10]  And this California guy is a millionaire number.
[3090.10 - 3093.10]  He's teaching week numbers and games.
[3093.10 - 3094.10]  Well, you can do...
[3094.10 - 3095.10]  How about that?
[3095.10 - 3096.10]  You can do artists.
[3097.10 - 3100.10]  You can do artists numbers if you use ratios of fantasy.
[3100.10 - 3101.10]  That's right.
[3101.10 - 3102.10]  That's right.
[3102.10 - 3108.10]  So, once we have that basic C scale, then you have, you have the whole...
[3108.10 - 3112.10]  The half step between the third and the fourth, seven and eight.
[3112.10 - 3115.10]  Three, four, seven, three, four, seven, three, four, can you repeat?
[3115.10 - 3116.10]  Three, four, seven, three, four, seven, eight, three, four, seven, eight, three, four, seven.
[3116.10 - 3117.10]  Okay.
[3117.10 - 3118.10]  Pick it any string you want.
[3118.10 - 3119.10]  Okay.
[3119.10 - 3121.10]  That's from, you know, to me, to think that one.
[3121.10 - 3122.10]  Okay.
[3122.10 - 3123.10]  That's your one.
[3123.10 - 3136.58]  two, all step two three, half step two four, all step two five, all step six, all step
[3136.58 - 3144.22]  two seven, half step two eight, and all of a sudden, you just play the scale vertically,
[3144.22 - 3152.74]  you play the guitar leg across and vertically. That's less than one. And people are like,
[3152.74 - 3160.26]  okay, so one, two, three, four, five, six, seven, okay, give me a one, give me a, I'm going
[3160.26 - 3165.42]  to give you a string number, one, five, four, three, two, eight, five, okay, one, five,
[3165.42 - 3176.94]  four, three, two, eight, five, nice, and the kid going like, whoa, I hope for life, I
[3176.94 - 3184.06]  decided the French kid who is like a massive proud right there, and he's going to take over the country.
[3184.06 - 3189.54]  I started with seven years old, exactly with this, one, five, four, three, two, eight, five.
[3189.54 - 3196.74]  I said, yo, this kid is hooked for life, and you know what, that's exactly what he is,
[3196.74 - 3204.22]  because it's easy, it's direct, there's no mythology, there's no academia with this pompous dogma.
[3204.22 - 3205.66]  Yeah, pompous dogma.
[3205.66 - 3208.54]  No, we look under the hood, kid, this is how it works.
[3208.54 - 3216.50]  We should probably label the song pompous dogma. I didn't have the word, but do this stuff.
[3216.50 - 3221.78]  We'll just have the word, but only this stuff.
[3221.78 - 3231.34]  So that's the beginning of the tree, right? That's actually very good. C scale, string to string
[3231.34 - 3236.26]  matching C pattern, so you see parrot interval, then numbers, then you know, you have that's one
[3236.26 - 3247.86]  scale, then you build chords with nothing but letters from that scale. So we have CD, E,
[3247.86 - 3258.74]  E, F, G, E, A, B, C, D, E, A, G, A, G, A, G, A, G. So to bring it back.
[3258.74 - 3263.98]  So we're building together, and the students should build these on the diagonally chords.
[3266.42 - 3269.38]  So instead of...
[3269.38 - 3274.02]  So we hear the chords, we hear the scale.
[3274.02 - 3276.02]  Play that chord.
[3284.26 - 3286.26]  Perfect system of chord.
[3286.26 - 3288.26]  And then...
[3288.26 - 3299.10]  And then you have thousands of songs, right there, and you understand. So those are called diatonic
[3299.10 - 3301.10]  chords. It took me...
[3301.10 - 3306.66]  No, my teacher, it's diatonic chords. So these are chords that belong to that scale.
[3306.66 - 3310.42]  They know outside thing. They belong to that scale.
[3310.42 - 3312.42]  Or autumn.
[3312.42 - 3315.06]  No, no, that's a case. It's a different system.
[3315.06 - 3317.06]  It's a different universe.
[3317.06 - 3322.70]  But diatonic chords mean dia is confirmed Greek. Dia means across, tannic means from tenorium
[3322.70 - 3329.78]  extension. So all Pythagoras across that particular tension exists a series of notes that speak
[3329.78 - 3331.78]  to the human heart.
[3331.78 - 3332.78]  Yes.
[3332.78 - 3339.62]  And so across that very station. So the chord I just played are made up of the same scale.
[3339.62 - 3344.90]  They all belong together. It's a perfect system of chord. They are diatonic.
[3344.90 - 3350.62]  So every guitar player should know that. And this is one of...
[3350.62 - 3351.62]  You should be...
[3351.62 - 3355.14]  Okay, you should understand how the guitar is organized.
[3355.14 - 3359.78]  Right? According to the C scale. Because the C scale is a white key of the piano. So there's
[3359.78 - 3362.02]  no sharp note flat. So it's very clear. It's simple.
[3362.02 - 3363.02]  C scale.
[3363.02 - 3365.02]  C scale no flats, no sharp.
[3365.02 - 3367.02]  You know.
[3367.02 - 3370.02]  We can look at numbers too. Anyway.
[3370.02 - 3376.50]  Then you understand the formula, the very scale.
[3376.50 - 3379.30]  You know. Like in three. Okay. Three is like...
[3379.30 - 3380.30]  E chord.
[3380.30 - 3384.94]  One, three, five.
[3384.94 - 3388.58]  It's very important to understand the structure of your chord.
[3388.58 - 3392.74]  One, five, four, three, five.
[3392.74 - 3398.86]  One of those numbers. Because once you have those numbers, okay. So if you know your three,
[3398.86 - 3399.86]  at the fourth...
[3399.86 - 3401.86]  Oh, I don't know.
[3401.86 - 3405.38]  C at the fourth word, the word for it.
[3405.38 - 3409.98]  As you aim it. At the two.
[3409.98 - 3410.98]  That's hard.
[3410.98 - 3411.98]  At the two.
[3411.98 - 3412.98]  At the two.
[3412.98 - 3415.98]  At the two. At the two. At the two. At the two.
[3415.98 - 3421.26]  So you got your one, three, five. And I use carina or metaphor. You got your basic triad.
[3421.26 - 3428.02]  Yeah. But that's your basically your protein, your greens and your starch. There's no flavor
[3428.02 - 3430.02]  really. I mean, you know.
[3430.02 - 3431.02]  Not too good.
[3431.02 - 3437.02]  So, you know, so I have this chord. I have this chord. So one, five. This one. One, five.
[3437.02 - 3441.02]  One, three, five. One, one. Maybe it's stacked up.
[3441.02 - 3449.02]  What if I spinkle the seven? It goes like this.
[3449.02 - 3450.02]  Ooh. That's my bridge.
[3450.02 - 3451.02]  I'll prove the pencil.
[3451.02 - 3453.02]  That's why I put that bridle with the music.
[3453.02 - 3456.02]  The right root scale.
[3456.02 - 3458.02]  What if I put two inside?
[3458.02 - 3466.02]  Actually, you have to do so. It's kind of a toy. You know, so you have to taste it.
[3466.02 - 3468.02]  That's the six.
[3468.02 - 3472.02]  You have to taste it. You have to taste it. You have to.
[3472.02 - 3476.02]  Where's the story? Where's the story? Make me a drawing. Where's the scene of the movie?
[3476.02 - 3479.02]  Start writing a poem on that. Just that.
[3479.02 - 3481.02]  Just that. Five minutes.
[3481.02 - 3484.02]  Time for five minutes. Word vomit.
[3484.02 - 3486.02]  That's creative writing.
[3486.02 - 3488.02]  Yeah. Word vomit.
[3488.02 - 3490.02]  Stream of consciousness.
[3490.02 - 3495.02]  Yeah, but it's a allow sound to make an impression on you.
[3495.02 - 3498.02]  Because that's how that's the best way to learn the guitar.
[3498.02 - 3501.02]  Because it becomes part of you. An extension of you.
[3501.02 - 3502.02]  So you got to do that.
[3502.02 - 3506.02]  If we set up the journaling like that, it gives journaling a lot more purpose.
[3506.02 - 3510.02]  So you got to do that in the chord series. And then, okay, the case is done.
[3510.02 - 3515.02]  Okay, now we can do it in G or A, a K H C A. So we're going to do A.
[3515.02 - 3519.02]  So you got, you know, the case system is amazing.
[3519.02 - 3525.02]  So we're going to do this A. So we have an A scale.
[3525.02 - 3530.02]  You know, and we're in the other scale. We're going to draw.
[3530.02 - 3537.02]  One, two, three, four, five, seven, eight.
[3537.02 - 3542.02]  And then we're going to do a little bit of the Daitonique chord series of that particular scale.
[3542.02 - 3545.02]  And then we're going to do a song in the key of A.
[3545.02 - 3552.02]  I mean, that's basically the trick. And we can do it in the Q of G and Q of E and Q of D,
[3552.02 - 3555.02]  which is that basically those are only five scale up.
[3555.02 - 3558.02]  They are like the most guitar friendly scale.
[3558.02 - 3564.02]  So when you go into the E flat and B flat, they're the jazz guy scales.
[3564.02 - 3567.02]  What do they sound like on guitar?
[3567.02 - 3572.02]  Well, you know, it depends on how I'm playing them.
[3572.02 - 3581.02]  You know, but it's like, you know, the E flat is a jazz guy key.
[3581.02 - 3583.02]  It's not a folk pop.
[3583.02 - 3585.02]  You know, it's a jazz guy.
[3585.02 - 3589.02]  If you flat and B flat, you know, I mean a lot of jazz standards, you know,
[3589.02 - 3593.02]  so it's like very sophisticated, you know.
[3593.02 - 3598.02]  We could repeat exactly the same thing, but they're like a lot harder to play.
[3598.02 - 3602.02]  You know, they are not as friendly.
[3602.02 - 3610.02]  The cage system is great. And also this F, which is basically nothing but E, you know, anyway.
[3610.02 - 3618.02]  I think that I need to be able to relate what you're teaching me back to how I need to change the website too.
[3618.02 - 3624.02]  So is that so anyway, so, so we got, we got a series of chords.
[3624.02 - 3631.02]  We mapped out the guitar. We saw, we discovered how the major scale sound and we discovered how to build chords from that major scale.
[3631.02 - 3636.02]  We discovered that major scale, major scales can anyway, so pick your random notes.
[3636.02 - 3639.02]  Okay, this one. Okay, that's the one.
[3639.02 - 3643.02]  One, two, three, four, five, six, seven, eight.
[3643.02 - 3651.02]  One, one, two, three, four, five, six, seven, eight.
[3651.02 - 3656.02]  Anywhere. You can play your major scale anyway once you know, three, four, seven, eight.
[3656.02 - 3659.02]  The half steps are between the third and the fourth and the seventh and eighth.
[3659.02 - 3662.02]  Very tremendous name. Powering.
[3662.02 - 3664.02]  Right. That sounds amazing.
[3664.02 - 3665.02]  That's it. That's it.
[3665.02 - 3668.02]  That's it done. You can do whatever you want.
[3668.02 - 3673.02]  Yeah, you know, and so, so then, and then, so this is, we do that.
[3673.02 - 3676.02]  So the key is, and you depend also what the person wants. Okay.
[3676.02 - 3678.02]  So you have that key system.
[3678.02 - 3684.02]  So numbers, chord tones.
[3684.02 - 3686.02]  So just read this.
[3686.02 - 3698.02]  You can use the guitar as your voice coach.
[3698.02 - 3700.02]  Yeah.
[3700.02 - 3706.02]  I think it's part of your instruction assuming you can play.
[3706.02 - 3712.02]  Hey, do you have a chord?
[3712.02 - 3715.02]  So I actually, that's how I warm it, my personal warm it.
[3715.02 - 3720.02]  I got this tiny little three note chord, you know, in the morning.
[3721.02 - 3723.02]  Oh.
[3740.02 - 3747.02]  All of it. And I sing my entire range and I play every single note on the guitar every day.
[3747.02 - 3748.02]  Wow.
[3748.02 - 3749.02]  And it's easy.
[3749.02 - 3751.02]  It sounds very meditative.
[3751.02 - 3755.02]  Well, it's kind of like warming up, you know, like, it's super easy.
[3755.02 - 3760.02]  You know, the tiny little three.
[3760.02 - 3772.02]  This is, um, between those three little chords I have in your entire scale.
[3772.02 - 3775.02]  You know, anyway, so there's all kind of things to discover.
[3775.02 - 3784.02]  Once you have chords, you know, here training, voice training and finger style.
[3784.02 - 3793.02]  It's only three notes, three chords.
[3793.02 - 3796.02]  It's all happened in an entire little thing.
[3796.02 - 3797.02]  Very handy.
[3797.02 - 3800.02]  It's like a little Swiss Army knife.
[3801.02 - 3810.02]  So depending on, um, so the cage system, I don't know if, you know, it enables people to flow through.
[3810.02 - 3814.02]  Okay. So C A G E D. I'm just going to give you like a super.
[3814.02 - 3821.02]  So we have five shapes. C shape, A shape, E shape.
[3824.02 - 3828.02]  C A G E D.
[3829.02 - 3830.02]  Well, this, you know, okay.
[3830.02 - 3832.02]  So how those shapes are interlocking.
[3832.02 - 3835.02]  So here I have a C shape, C.
[3835.02 - 3841.02]  Now my next shape is A. So here's a A shape, C.
[3841.02 - 3845.02]  Now this is my hinge, my thumb, I'm going to put my finger here.
[3845.02 - 3848.02]  This is my G shape, C.
[3848.02 - 3852.02]  I'm going to take this as my hinge, hinge, hinge's point.
[3852.02 - 3855.02]  This is my E shape, C.
[3855.02 - 3859.02]  This is my next floor, boom.
[3859.02 - 3862.02]  That's my D shape, C.
[3862.02 - 3868.02]  So all of a sudden, I'm playing a map.
[3873.02 - 3879.02]  A shape, C, A shape, C, G shape, C.
[3879.02 - 3884.02]  C, D, D.
[3884.02 - 3890.02]  G shape, C, A shape, C, C, C, C.
[3890.02 - 3893.02]  It's got the lean, boom, boom, boom, boom, it gets lost.
[3893.02 - 3896.02]  I can do the same thing with A. So A.
[3896.02 - 3897.02]  Okay, let's start with A.
[3897.02 - 3901.02]  We have the same thing at the interlockable parallel cyclical network.
[3901.02 - 3903.02]  A shape, C. So it's after the E.
[3903.02 - 3904.02]  Oh, yeah.
[3904.02 - 3906.02]  That's A shape, G shape, C.
[3906.02 - 3910.02]  I'm spending C that's E shape, C.
[3910.02 - 3912.02]  That's D shape, C.
[3912.02 - 3914.02]  And then we're back to C shape, C.
[3914.02 - 3917.02]  I actually have one for another A shape, C.
[3917.02 - 3918.02]  Okay.
[3922.02 - 3924.02]  A shape, C, D.
[3924.02 - 3926.02]  C.
[3926.02 - 3928.02]  Back to A.
[3931.02 - 3933.02]  You can do the line.
[3933.02 - 3938.02]  And I can do that for G, G shape, G.
[3938.02 - 3939.02]  Next one.
[3939.02 - 3945.02]  G shape, G, G shape, G, C shape, G.
[3945.02 - 3949.02]  And A shape, G.
[3949.02 - 3952.02]  Right. So it's basically the interlocking pattern.
[3952.02 - 3954.02]  You just know how well the ranges are.
[3954.02 - 3956.02]  This cage system enabled it.
[3956.02 - 3959.02]  Which is why you called it the Rosetta Stone.
[3959.02 - 3960.02]  I did.
[3960.02 - 3961.02]  Yeah.
[3961.02 - 3962.02]  I put it in the website.
[3962.02 - 3963.02]  I'm glad that's it.
[3963.02 - 3964.02]  Makes sense.
[3964.02 - 3965.02]  I'm glad that it's there.
[3965.02 - 3966.02]  Wow.
[3966.02 - 3968.02]  It's totally wrong with this.
[3968.02 - 3969.02]  But I can get it.
[3969.02 - 3973.02]  I forget about my wrap and then I just used it.
[3973.02 - 3984.02]  See, this system was actually very, very democratic because it enabled poor people to self teach and organize their knowledge and blow people's minds.
[3984.02 - 3985.02]  It changed the world.
[3985.02 - 3986.02]  Yeah.
[3986.02 - 3987.02]  It's very democratic.
[3987.02 - 3988.02]  Once you know that.
[3988.02 - 3989.02]  Yeah.
[3989.02 - 4000.02]  And it kind of, like if you're carrying a dozen of, you know, it enables the fabulously great Reverend Gary Davis, Brian Reverend, was recording the 20s and 30s.
[4000.02 - 4001.02]  He was alive in the 70s.
[4001.02 - 4002.02]  Yeah.
[4002.02 - 4003.02]  All he was.
[4003.02 - 4004.02]  And he was teaching all those hippies.
[4004.02 - 4006.02]  Jefferson airplane.
[4006.02 - 4007.02]  Yeah.
[4007.02 - 4009.02]  All those guys were taking lessons from him.
[4009.02 - 4010.02]  Yeah.
[4010.02 - 4016.02]  When Bob Dylan and Joan Bess, you know, during the folk revival in the important part, they thought they were hard shaped, you know, finger picking a guitar.
[4016.02 - 4018.02]  You was a blind guy.
[4019.02 - 4020.02]  Yeah.
[4020.02 - 4021.02]  Yeah.
[4021.02 - 4022.02]  Yeah.
[4022.02 - 4023.02]  Yeah.
[4023.02 - 4024.02]  Yeah.
[4024.02 - 4025.02]  Yeah.
[4025.02 - 4026.02]  Yeah.
[4026.02 - 4027.02]  Yeah.
[4027.02 - 4028.02]  Yeah.
[4028.02 - 4029.02]  Yeah.
[4029.02 - 4030.02]  Yeah.
[4030.02 - 4032.02]  He was jamming all over the place and singing.
[4032.02 - 4033.02]  He was blind.
[4033.02 - 4034.02]  That's pretty talented.
[4034.02 - 4035.02]  Yeah.
[4035.02 - 4036.02]  Yeah.
[4036.02 - 4037.02]  And he was very generous teacher.
[4037.02 - 4038.02]  Yeah.
[4038.02 - 4039.02]  He was one, two, man.
[4039.02 - 4042.02]  So that's the gauge system, you know.
[4043.02 - 4049.02]  So all of those C, A, G, E, D, they have their early skill.
[4049.02 - 4053.02]  So that's a whole other bag of work, you know, we can go by keys.
[4053.02 - 4056.02]  For example, E, you know.
[4056.02 - 4061.02]  So this is E, you play U, E chord, you have.
[4061.02 - 4066.02]  That's a beautiful little chord right there.
[4066.02 - 4068.02]  A chord is only, so.
[4069.02 - 4078.02]  I have people play that on this one.
[4078.02 - 4079.02]  Gorgeous.
[4079.02 - 4080.02]  Yeah.
[4080.02 - 4081.02]  It's gentle.
[4081.02 - 4085.02]  And then this.
[4085.02 - 4092.02]  Or even two strings.
[4092.02 - 4094.02]  This is a five and a one.
[4094.02 - 4101.02]  So it's like five, C, seven, eight is one.
[4101.02 - 4104.02]  Fingers strumming.
[4104.02 - 4107.02]  I believe you believe in fingers strumming.
[4107.02 - 4110.02]  You just remember, you play the uni-tar.
[4110.02 - 4114.02]  Also, one string.
[4114.02 - 4117.02]  Mano chord.
[4117.02 - 4122.02]  You can have this as a drum because it's part of the chord.
[4122.02 - 4129.02]  We like E, G, after it's also this.
[4129.02 - 4132.02]  Actually.
[4132.02 - 4140.02]  Actually, Black Bird is like once you, it's like, yeah.
[4140.02 - 4143.02]  I mean, it's genius.
[4143.02 - 4147.02]  There's the scaffolding of the diatonic, the major scale.
[4147.02 - 4151.02]  But then there's this off notes.
[4151.02 - 4158.02]  Fumming.
[4158.02 - 4165.02]  He adds non-scale note, non-diatonic notes that add a really deep, deep, rich, nested.
[4165.02 - 4169.02]  You turn your major chord into a minor.
[4169.02 - 4173.02]  It's not supposed to be a minor, but that adds a lot of depth to it.
[4173.02 - 4178.02]  You can't just be with just primary chord.
[4178.02 - 4183.02]  Anyways, so this is the tree.
[4183.02 - 4186.02]  So that's the tree.
[4186.02 - 4191.02]  That's the tree where they are.
[4191.02 - 4202.02]  Just in a few minutes, I could definitely tell how Fuxus, knowing how it works, would allow you to play with your clothes eyes.
[4202.02 - 4207.02]  It would allow you to get into flows because you could just know.
[4207.02 - 4214.02]  Instead of thinking where is this, you would literally know because it's a whole framework for it.
[4214.02 - 4217.02]  Yeah, but no proper reception is a thing.
[4217.02 - 4222.02]  There's also teaching with feel, with touch.
[4222.02 - 4228.02]  Countless breakthroughs, witnessed countless breakthroughs.
[4228.02 - 4231.02]  I can't tell how to say it, close your eyes.
[4231.02 - 4233.02]  And let the scan gather.
[4233.02 - 4235.02]  And then we do it.
[4235.02 - 4238.02]  I think that's you too.
[4238.02 - 4245.02]  Are you two?
[4245.02 - 4247.02]  Is that a very computer?
[4247.02 - 4248.02]  Oh, is it a computer?
[4248.02 - 4252.02]  Hi, can I call you back?
[4253.02 - 4260.02]  And then there's like, so this is Western harmony.
[4260.02 - 4263.02]  And then there's like blues.
[4263.02 - 4265.02]  That's a whole lot of works.
[4265.02 - 4267.02]  And that could be like a whole chapter.
[4267.02 - 4272.02]  A whole section of the universe.
[4272.02 - 4278.02]  So blues is actually, it's part of that, you know, it's a different kind of scale.
[4278.02 - 4281.02]  It exists inside the Western harmony.
[4281.02 - 4284.02]  It's in this area, you know.
[4284.02 - 4290.02]  So instead of one, two, three, four, six.
[4290.02 - 4299.02]  One, two, three, four, six.
[4299.02 - 4304.02]  In terms of scale, I skipped half step.
[4304.02 - 4306.74]  Five, six, eight, so no, four or seven.
[4308.34 - 4310.74]  Now break, gospel, lead, country.
[4310.74 - 4312.82]  Refablines, here from six to six.
[4315.94 - 4317.30]  Very different.
[4317.78 - 4318.82]  Same scale.
[4318.82 - 4319.62]  Yeah.
[4319.62 - 4322.18]  I brought it on to my neck, which is that.
[4322.18 - 4322.42]  Okay.
[4325.38 - 4326.34]  Three from the six.
[4327.30 - 4329.38]  Whether you have a six-year-old minor or...
[4336.98 - 4341.70]  So the plants here play the same scale before it went to well.
[4344.90 - 4346.02]  As the bright sky.
[4348.18 - 4348.42]  But now,
[4349.30 - 4350.10]  now,
[4351.30 - 4353.30]  and if they're in one scale, they play fabulous.
[4354.10 - 4357.94]  But in the cycle, it's off from a different center.
[4358.50 - 4361.54]  That's the light and the dark, completely intertwined.
[4361.54 - 4362.02]  Yeah.
[4362.02 - 4362.50]  Yeah, yeah.
[4362.50 - 4363.14]  That's the blues.
[4363.14 - 4364.34]  Rest of the blues is like...
[4366.18 - 4367.62]  That's this basic scale, right?
[4368.82 - 4371.54]  And what's interesting at this, this cover, I don't remember,
[4371.54 - 4374.50]  that's very basic, that, that, that scale.
[4374.82 - 4379.70]  If you play it, if you play it as a power chord,
[4379.70 - 4382.82]  that's the basic howling of work.
[4395.94 - 4397.62]  I just played the same scale.
[4397.62 - 4399.86]  When I played, instead of playing single notes,
[4399.86 - 4403.86]  I played every note as a major scale, as a major chord.
[4404.58 - 4408.18]  But the interval between the chords are the same for the scale.
[4408.18 - 4411.06]  And I was like, that's rock harmony.
[4411.06 - 4412.42]  When I did, I did all the things.
[4414.02 - 4416.74]  And you always know like, okay, rock comes from the blues,
[4416.74 - 4417.70]  but that's why.
[4417.70 - 4418.50]  That's why.
[4418.50 - 4419.46]  You know, and if you want,
[4420.90 - 4422.42]  you can add this one,
[4422.42 - 4424.02]  move it to anything which is a blues.
[4428.02 - 4429.54]  That's the flat five.
[4429.54 - 4430.74]  And that five should be deep.
[4430.74 - 4432.18]  That's familiar.
[4432.18 - 4433.86]  It should be a deep one.
[4433.94 - 4436.50]  That flat five, that note was actually band in Europe.
[4436.50 - 4438.42]  You know, they're supposed to put it in Europe.
[4438.42 - 4439.06]  Really?
[4439.06 - 4440.42]  And clams, because it's just,
[4440.42 - 4441.86]  it's not off of your head.
[4441.86 - 4443.22]  It's not.
[4443.22 - 4443.38]  Really?
[4443.38 - 4443.78]  And that's...
[4447.38 - 4447.78]  Yeah, no.
[4447.78 - 4450.18]  That's the note that every player's love.
[4450.18 - 4451.46]  It's also the note of...
[4455.06 - 4456.58]  The same song.
[4456.58 - 4457.78]  That's obviously that flat five.
[4457.78 - 4459.62]  You know, this one's perfect for that show.
[4460.34 - 4463.94]  Uh, um, any album, I think, or that.
[4463.94 - 4464.74]  Flat five.
[4465.46 - 4466.98]  Yeah, the flat five is the darker.
[4466.98 - 4467.38]  It's not.
[4467.38 - 4470.50]  It's actually, it's quite fascinating to talk about math.
[4470.50 - 4473.46]  What's a flat five sound like compared to a perfect fifth?
[4474.58 - 4475.86]  That, yeah, just play it.
[4477.38 - 4477.94]  Flat five.
[4479.06 - 4480.42]  Sim, flat five.
[4480.42 - 4480.90]  So it's...
[4481.70 - 4482.50]  Perfect fifth.
[4482.50 - 4483.30]  Yeah.
[4483.30 - 4485.30]  Sim, Sim, Sim, Sim,
[4485.30 - 4486.74]  flat five to a perfect fifth.
[4486.74 - 4487.30]  This is right.
[4487.30 - 4488.10]  How the hell?
[4489.62 - 4490.98]  You remember the comments?
[4490.98 - 4491.94]  You remember the...
[4493.46 - 4494.42]  You remember the comments.
[4494.42 - 4494.90]  That's so funny.
[4494.90 - 4496.90]  Cliches, you know, popular cliches.
[4496.90 - 4497.86]  We're wired.
[4497.86 - 4499.86]  Let's bring that into the guitar.
[4499.86 - 4501.54]  Everybody should play, you know,
[4501.54 - 4504.98]  I ask almost my students to personalize the thing.
[4505.78 - 4507.46]  You make me two lists, and I've told you.
[4508.10 - 4510.26]  All the music that you remember,
[4510.26 - 4511.46]  all the music that you grew up with,
[4511.46 - 4513.30]  you grew up parents, you parents, everything.
[4514.02 - 4515.38]  And take your time because...
[4515.46 - 4518.02]  memory, biggest memory.
[4518.66 - 4520.42]  And then all the music you were playing.
[4520.42 - 4522.18]  So that's the past, that's the present,
[4522.18 - 4524.34]  that's the future, and then here you are.
[4524.34 - 4526.98]  And then I can draw unbelievable references
[4526.98 - 4528.34]  from both of those lists.
[4528.34 - 4528.66]  Yeah.
[4528.66 - 4530.82]  They may not cross over it, but isn't it?
[4530.82 - 4532.18]  Is that music without memory?
[4533.14 - 4533.78]  I don't know.
[4533.78 - 4535.38]  It's not meaning making without memory.
[4536.74 - 4541.54]  So, Pythagoras and Math and Chords,
[4541.54 - 4544.98]  did you know that his name meant number five?
[4546.02 - 4548.82]  That his name actually was not Pythagoras,
[4548.82 - 4549.86]  it was something else,
[4549.86 - 4552.18]  but he adopted the name Pythagoras
[4552.18 - 4554.74]  as a teacher because it meant number five.
[4555.38 - 4558.66]  He was an Olympian athlete, very athletic guy.
[4559.22 - 4562.50]  He traveled all around the world,
[4562.50 - 4566.34]  including taking the Silk Road to China,
[4566.34 - 4569.94]  just to try each culture's mystic school.
[4570.82 - 4571.38]  No.
[4571.38 - 4571.62]  Yes.
[4572.42 - 4572.74]  Yes.
[4572.74 - 4573.78]  The dude.
[4573.78 - 4576.58]  And then he came back and started his own academy.
[4576.58 - 4580.58]  And so that's why Western education is what it is,
[4580.58 - 4584.26]  is because Pythagoras went around whatever his name was,
[4584.26 - 4587.46]  to every culture and downloaded by doing.
[4588.18 - 4588.98]  He did it all.
[4588.98 - 4590.50]  He did every ritual,
[4590.50 - 4593.54]  he brought it all back and created Math and Meaning.
[4593.54 - 4594.18]  Yeah.
[4594.18 - 4596.66]  Some people say this similar thing
[4596.66 - 4598.98]  about the spiritual activity of Jesus.
[4598.98 - 4599.30]  Yeah.
[4599.30 - 4602.74]  Went to the Orient and learned to meditate.
[4602.90 - 4605.78]  What you learned about those scenes and some nostalgic stuff.
[4605.78 - 4606.26]  Yes.
[4607.46 - 4608.58]  Yogic powers.
[4608.58 - 4611.14]  Like you can't be doing that without knowing how to do it.
[4611.14 - 4614.34]  It doesn't just happen without the practice and the teaching.
[4615.22 - 4615.70]  Yeah.
[4615.70 - 4618.26]  So there were Pharisees, Sadducees and the scenes.
[4618.90 - 4620.74]  And the scenes are not in the Bible.
[4620.74 - 4622.26]  I have a whole bunch of channeled books,
[4622.26 - 4624.34]  actually, by Edo Casey.
[4624.34 - 4624.82]  Nice.
[4624.82 - 4626.10]  And he's, yeah, I love.
[4626.10 - 4630.10]  That's one of the things that connected me with the Holy Reverend.
[4630.10 - 4660.08]  He was big at the
[4660.10 - 4665.06]  incredible writing and including medication that we use.
[4665.06 - 4665.30]  Yeah.
[4666.26 - 4668.90]  I mean, that's why you should get into My Big Toe.
[4670.10 - 4670.66]  Yeah, yeah, yeah.
[4670.66 - 4671.70]  It's such a good book.
[4671.70 - 4672.90]  I bought all three books.
[4672.90 - 4674.10]  I'm just so good.
[4674.10 - 4675.06]  I can't wait.
[4675.06 - 4676.34]  I mean, it's so good.
[4676.34 - 4676.82]  Yeah.
[4676.82 - 4679.14]  And I would, it sounds like a great reading report.
[4679.14 - 4684.34]  The guy who made the Monroe Institute in Michigan,
[4684.34 - 4686.42]  which is all about astral projection,
[4686.42 - 4689.30]  there is a university all about astral projection called.
[4689.30 - 4691.62]  Astral projection, the all remote hearing, no, astral projection.
[4691.62 - 4692.26]  Remote hearing.
[4694.18 - 4697.86]  But the guy named Bob, who's the one that first started doing it,
[4697.86 - 4698.90]  recording it all.
[4698.90 - 4699.86]  Grace Bob.
[4699.86 - 4700.10]  Yep.
[4701.38 - 4702.74]  He's the starter of it.
[4702.74 - 4707.78]  But anyways, it's a lot of fun culture, channeling, mysticism,
[4708.34 - 4713.22]  all of that different kind of paranormal stuff is all in there.
[4713.22 - 4713.70]  It's all.
[4713.70 - 4714.90]  So, yeah.
[4714.90 - 4715.38]  Yeah.
[4715.38 - 4715.78]  Yeah.
[4715.78 - 4717.62]  It's fun to watch and hear it about.
[4717.62 - 4718.50]  Yeah, that's great.
[4718.50 - 4721.38]  If you're open to believing reality in that way,
[4721.38 - 4723.22]  you end up experiencing it in that way.
[4723.22 - 4723.78]  Oh, no.
[4723.78 - 4725.62]  This is, this is where I live.
[4725.62 - 4725.86]  Yeah.
[4725.86 - 4726.34]  Yeah.
[4726.34 - 4729.94]  This is, this, this life is an experiment.
[4729.94 - 4731.30]  And you experience it.
[4731.30 - 4735.22]  I mean, I told that, I told, actually, I just wrote my,
[4735.22 - 4738.82]  the, I just wrote for the Methodist Church.
[4738.82 - 4741.14]  You don't want, you won't know about the nature of my spiritually.
[4741.14 - 4741.46]  Okay.
[4742.50 - 4746.66]  18 months, 18 years before I met Susan, my wife,
[4746.74 - 4750.26]  I had a vision of her father and of this house.
[4751.14 - 4752.50]  And there was number 11.
[4752.50 - 4753.46]  This is 1.19.
[4754.10 - 4758.26]  But, you know, I was, I was actually a white corner
[4758.26 - 4760.02]  into being homeless and all of my stuff.
[4761.86 - 4763.22]  And I was supposed to be desperate.
[4763.86 - 4767.38]  I was going to sleep on the floor, artist and the Boston Center for the Arts,
